time,open,high,low,close,Volume,Volume MA,ATR
1741072620,2078.61,2086.56,2067.37,2079.19,60578.921,86860.07055172416,27.214589256394344
1741074000,2079.52,2087.53,2073.55,2079.68,52744.349,84325.65313793105,26.269261452366177
1741075380,2079.68,2095.64,2069.53,2094.74,66816.521,84498.07044827587,26.25788563434
1741076760,2094.74,2104.99,2084.5,2087.14,59500.653,84770.56431034485,25.8458938033157
1741078140,2087.14,2110.83,2082.78,2110.83,49909.021,82866.38820689658,26.003329960221702
1741079520,2110.46,2110.83,2083.81,2089.79,48580.995,82717.52855172417,26.075949248777295
1741080900,2089.79,2103.67,2088.24,2088.93,30890.5,81318.23551724141,25.31552430243608
1741082280,2088.93,2095.77,2077.61,2082.26,43411.075,80822.1664482759,24.80441542369064
1741083660,2082.39,2101.89,2081,2096.34,41044.66,80943.64803448279,24.52481432199844
1741085040,2096.35,2106.73,2094.56,2099.92,33778.773,81170.74686206899,23.64232758471284
1741086420,2099.9,2117.04,2097.92,2107.51,56155.519,80532.55731034486,23.319304185804775
1741087800,2107.51,2113.17,2101.76,2109.96,41355.119,79072.38051724141,22.468639601104424
1741089180,2109.91,2109.91,2088.36,2091.09,46354.529,78098.71696551729,22.406593915311245
1741090560,2090.89,2096.79,2081.48,2093.8,61557.515,76215.22182758627,21.899694349931867
1741091940,2094,2112.07,2093.37,2095.83,65807.789,66090.2665517242,21.67114475350818
1741093320,2095.83,2098.44,2066.4,2075.47,106554.755,60710.05003448282,22.411777271114737
1741094700,2075.47,2084.41,2052.26,2076.63,132617.185,60511.56975862075,23.10736460889223
1741096080,2076.84,2082.82,2053.59,2074.31,107797.737,61453.56989655179,23.544695708257073
1741097460,2073.98,2079.62,2039.07,2051.69,118117.296,62925.682793103515,24.759360300524424
1741098840,2051.56,2157.99,2051.56,2099.7,390123.958,74909.75006896557,30.592977421915524
1741100220,2099.89,2101.4,2042.31,2047.21,214857.234,79457.68086206903,32.62847903463585
1741101600,2047.23,2082.26,2024.5,2072.4,180919.59,84036.04844827592,34.42358767501902
1741102980,2072.4,2083.78,2061.29,2064.52,110351.062,86386.55672413798,33.571188555374825
1741104360,2064.22,2076.23,2035.06,2038.59,135468.359,86613.54755172419,34.11396080141949
1741105740,2038.89,2061.61,1988.66,2052.81,278403.121,94348.63334482764,36.887963601318106
1741107120,2052.77,2086.14,2049.79,2078.29,136257.186,97514.40144827592,36.849537629795385
1741108500,2078.29,2126,2075.09,2121.13,180308.241,102143.1651379311,37.85385637052428
1741109880,2120.99,2133.89,2110.87,2114.34,111637.087,104668.13500000005,36.794295201201116
1741111260,2114.3,2144.55,2109.66,2124.07,117258.023,106177.81975862074,36.65827411540106
1741112640,2124,2137.42,2117.17,2134.63,56407.828,106033.98896551729,35.48625453572956
1741114020,2134.61,2163.58,2134.11,2160.62,119233.727,108326.7261379311,35.05652206889172
1741115400,2160.62,2166.8,2144.28,2148.19,102642.793,109562.11482758625,34.16105620682802
1741116780,2148.18,2174,2140.65,2168.27,88937.203,110577.16827586213,34.103123620626015
1741118160,2168.55,2176.78,2165.21,2172.64,59568.423,110910.25110344833,32.49361479058131
1741119540,2172.81,2192.2,2163.05,2163.47,114441.726,113181.31079310349,32.254785162682616
1741120920,2163.01,2168.1,2125.6,2133.03,145488.491,117132.96565517245,32.986586222491
1741122300,2133.03,2219.5,2133.02,2209.74,160382.496,121166.4629310345,36.80754434945593
1741123680,2209.98,2221.26,2170.59,2182.19,111402.015,123592.57862068967,37.797719753066225
1741125060,2182.01,2184,2168.58,2171.12,36909.366,123700.5301034483,36.19931119927578
1741126440,2171.38,2186.6,2171.23,2178.23,30900.506,122829.66758620692,34.71936039932751
1741127820,2178.1,2183.93,2165.54,2165.8,25231.736,122273.688862069,33.552977513661254
1741129200,2165.79,2179.53,2158.07,2160.98,51622.127,122455.33017241381,32.689193405542596
1741130580,2160.98,2171.78,2159.02,2171.13,27026.353,121264.60044827589,31.265679590860998
1741131960,2171.14,2174.9,2168.22,2170.52,11221.178,119382.3035172414,29.509559620085234
1741132800,2170.16,2175.14,2159.03,2163.48,42348.183,117168.28379310347,28.55244821865055
1741134180,2163.47,2170.83,2154.54,2163.57,34823.969,113796.10393103451,27.67655906017551
1741135560,2163.56,2167.08,2154.21,2159.62,34945.87,111283.97058620692,26.618947698734395
1741136940,2159.63,2178.67,2158.08,2168.58,37794.193,108514.20841379312,26.188308577396235
1741138320,2168.32,2191.96,2167.96,2189.23,58278.508,97071.26186206899,26.032000821867932
1741139700,2189.28,2190.96,2170.12,2172.82,36136.556,90908.47986206897,25.661143620305946
1741141080,2172.6,2186.99,2165.69,2173.61,46321.915,86267.18072413794,25.349633361712645
1741142460,2173.61,2189.73,2173.61,2179.33,36809.639,83731.26958620691,24.69037383587602
1741143840,2179.32,2188.45,2177.15,2184.79,24473.017,79903.84400000001,23.733918561884856
1741145220,2184.79,2187.39,2166.81,2171.41,35785.121,71537.70606896552,23.50863866460736
1741146600,2171.34,2177,2157.07,2161.96,53973.958,68700.35337931036,23.253021617135396
1741147980,2161.83,2171.59,2160.62,2164.4,26243.875,63387.789034482776,22.37566293019717
1741149360,2164.32,2174.48,2163.79,2170.65,16787.426,60117.11106896553,21.540972720897376
1741150740,2170.51,2178.44,2169.37,2172.89,22858.306,56861.94841379312,20.650188955119003
1741152120,2172.88,2180.22,2170.19,2171.63,16215.941,55476.02127586209,19.891604029753342
1741153500,2171.63,2183.24,2171.23,2180.35,20487.425,52070.97637931037,19.328632313342375
1741154880,2180.35,2181.17,2173.91,2176.15,18866.364,49182.13400000002,18.46658714810365
1741156260,2175.86,2185.77,2174.44,2182.82,19301.667,46780.908620689675,17.9568309232391
1741157640,2182.82,2206.02,2181.3,2190.59,69498.799,47123.33537931037,18.43991442872201
1741159020,2190.81,2202.74,2187.26,2196.51,33751.886,44340.927103448295,18.22849196952755
1741160400,2196.51,2212.25,2194.42,2205.3,48385.926,40992.56279310347,18.200028257418435
1741161780,2205.18,2225.46,2203.64,2212.58,57730.232,37452.829551724164,18.45859766760284
